,0
0,2
1,13
2,17
3,2
4,13
5,17
6,11
7,17
8,22
9,11
10,6
11,9
12,11
13,8
14,11
15,10
16,13
17,8
18,2
19,0
20,6
21,0
22,9
23,17
24,8
25,17
26,11
27,8
28,17
29,6
30,14
31,17
32,10
33,14
34,10
35,10
36,2
37,8
38,15
39,12
40,16
41,10
42,13
43,10
44,13
45,17
46,10
47,14
48,8
49,0
50,7
51,8
52,11
53,11
54,14
55,2
56,0
57,9
58,17
59,14
60,12
61,11
62,11
63,12
64,10
65,6
66,6
67,14
68,12
69,13
70,13
71,22
72,13
73,8
74,11
75,6
76,13
77,17
78,6
79,8
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,accuracy,macro avg,weighted avg
precision,0.75,0.0,0.4,0.0,0.0,0.0,0.42857142857142855,1.0,0.3333333333333333,0.6666666666666666,0.25,0.3,0.5,0.4444444444444444,0.3333333333333333,1.0,1.0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.425,0.33485958485958484,0.367609126984127
recall,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.3333333333333333,1.0,0.5,0.6666666666666666,0.75,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.75,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.425,0.37179487179487175,0.425
f1-score,0.75,0.0,0.4444444444444445,0.0,0.0,0.0,0.5454545454545454,0.5,0.5,0.5714285714285715,0.36363636363636365,0.4285714285714285,0.5714285714285715,0.6153846153846153,0.4444444444444444,0.5,0.5,0.4285714285714285,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.425,0.30628324666786205,0.34592435342435335
support,4.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,0.425,80.0,80.0
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
18,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
25,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
